id;issue_id;issue_uuid;username;issue_assignment_displayed_username;issue_role;displayed_issue_role;created;modified;accepted;deleted
1;45661;cd420e70-f82c-486a-8887-a7b1f952d967;robust JSON leverage;Investment;Fresh;Incredible Tools 24/7;2023-01-27T09:02:05;2023-01-28T03:34:59;2023-01-27T23:42:57;2023-01-27T11:55:11
2;68657;c16498c6-bd22-4968-ad06-a636d7b44368;SAS generate compressing;PCI Chicken;AI Berkshire;Loan Wooden;2023-01-27T19:30:46;2023-01-27T08:03:40;2023-01-27T08:26:21;2023-01-27T15:29:32
3;75067;c90e7bed-4ebd-4e48-9226-4ba620e7ded6;incentivize cyan;Gloves Planner Plastic;Kenyan;Leone;2023-01-27T14:52:34;2023-01-27T10:34:42;2023-01-27T05:14:20;2023-01-27T06:27:01
4;15836;d9029026-fa7a-4aad-874d-5a6b238f2942;Spur monitor invoice;bypassing;Sleek Intranet Fresh;Steel;2023-01-27T15:42:10;2023-01-27T07:19:52;2023-01-27T15:59:06;2023-01-27T23:55:00
5;67608;f7d97717-1cc6-4881-b467-6cd726e1fe01;users Developer Morocco;Cotton directional;compelling transmitter Reverse-engineered;optimizing;2023-01-27T08:50:09;2023-01-27T05:45:12;2023-01-27T20:59:54;2023-01-27T12:49:01
6;78098;e1863395-bef9-4b0f-8db1-07a2487d91f7;innovate;Shoes supply-chains quantifying;Human transparent;mint Peso Lead;2023-01-27T12:32:09;2023-01-27T07:14:33;2023-01-28T03:43:25;2023-01-27T17:02:13
7;38092;44030e08-ecc5-428a-b078-fa76f4813f30;International;Alabama deliver Account;Kenyan Planner;override International;2023-01-27T19:18:21;2023-01-27T18:59:51;2023-01-27T16:36:00;2023-01-27T09:19:51
8;72165;e6a8db9b-80e6-4f5f-a50f-321d2952e948;discrete clicks-and-mortar;Frozen Manager Uganda;Chicken Germany;Steel wireless;2023-01-27T05:40:44;2023-01-27T23:58:23;2023-01-27T11:18:03;2023-01-28T04:05:17
9;89502;67c4cfe5-61af-4f16-8bc3-6c942f1c3f67;Persistent Rhode Frozen;Markets capacitor yellow;transmit Prairie Account;Regional deposit;2023-01-28T00:42:35;2023-01-27T06:19:34;2023-01-27T21:25:54;2023-01-27T22:19:51
10;57760;edf3df01-769c-4f31-ba3a-9be7663bb0df;Islands online asynchronous;bifurcated real-time input;Arkansas bi-directional Account;District;2023-01-27T11:43:50;2023-01-27T17:08:49;2023-01-27T09:50:01;2023-01-27T19:59:16
