id;issue_id;issue_uuid;username;issue_assignment_displayed_username;issue_role;displayed_issue_role;created;modified;accepted;deleted
1;45661;cd420e70-f82c-486a-8887-a7b1f952d967;robust JSON leverage;Investment;Fresh;Incredible Tools 24/7;2023-01-27T22:37:03;2023-01-28T17:09:57;2023-01-28T13:17:55;2023-01-28T01:30:09
2;68657;c16498c6-bd22-4968-ad06-a636d7b44368;SAS generate compressing;PCI Chicken;AI Berkshire;Loan Wooden;2023-01-28T09:05:44;2023-01-27T21:38:38;2023-01-27T22:01:19;2023-01-28T05:04:30
3;75067;c90e7bed-4ebd-4e48-9226-4ba620e7ded6;incentivize cyan;Gloves Planner Plastic;Kenyan;Leone;2023-01-28T04:27:32;2023-01-28T00:09:40;2023-01-27T18:49:18;2023-01-27T20:01:59
4;15836;d9029026-fa7a-4aad-874d-5a6b238f2942;Spur monitor invoice;bypassing;Sleek Intranet Fresh;Steel;2023-01-28T05:17:08;2023-01-27T20:54:50;2023-01-28T05:34:04;2023-01-28T13:29:58
5;67608;f7d97717-1cc6-4881-b467-6cd726e1fe01;users Developer Morocco;Cotton directional;compelling transmitter Reverse-engineered;optimizing;2023-01-27T22:25:07;2023-01-27T19:20:10;2023-01-28T10:34:52;2023-01-28T02:23:59
6;78098;e1863395-bef9-4b0f-8db1-07a2487d91f7;innovate;Shoes supply-chains quantifying;Human transparent;mint Peso Lead;2023-01-28T02:07:07;2023-01-27T20:49:31;2023-01-28T17:18:23;2023-01-28T06:37:11
7;38092;44030e08-ecc5-428a-b078-fa76f4813f30;International;Alabama deliver Account;Kenyan Planner;override International;2023-01-28T08:53:19;2023-01-28T08:34:49;2023-01-28T06:10:58;2023-01-27T22:54:49
8;72165;e6a8db9b-80e6-4f5f-a50f-321d2952e948;discrete clicks-and-mortar;Frozen Manager Uganda;Chicken Germany;Steel wireless;2023-01-27T19:15:42;2023-01-28T13:33:21;2023-01-28T00:53:01;2023-01-28T17:40:15
9;89502;67c4cfe5-61af-4f16-8bc3-6c942f1c3f67;Persistent Rhode Frozen;Markets capacitor yellow;transmit Prairie Account;Regional deposit;2023-01-28T14:17:33;2023-01-27T19:54:32;2023-01-28T11:00:52;2023-01-28T11:54:49
10;57760;edf3df01-769c-4f31-ba3a-9be7663bb0df;Islands online asynchronous;bifurcated real-time input;Arkansas bi-directional Account;District;2023-01-28T01:18:48;2023-01-28T06:43:47;2023-01-27T23:24:59;2023-01-28T09:34:14
